id,method-name,parametes-method,return-method,field-access,methods-method,contain-class-name,attributes-class,methods-class,contain-class-context,target-class-name,attributes-class,methods-class,target-class-context,tag,move-tag
10,first  Matching  Expectation,Http  Request,Expectation,,is  Empty  first  Matching  Expectation,Http  State  Handler,log  separator  path  prefix  unique  Loop  Prevention  Header  Value  mock  Server  Log  scheduler  expectation  File  System  Persistence  expectation  File  Watcher  mock  Server  Matcher  mock  Server  Logger  web  Socket  Client  Registry  http  Request  Serializer  http  Request  Response  Serializer  expectation  Serializer  http  Request  To  Java  Serializer  expectation  To  Java  Serializer  verification  Serializer  verification  Sequence  Serializer  log  Entry  Serializer,Http  State  Handler  get  Mock  Server  Logger  clear  reset  add  post  Process  retrieve  verify  verify  verify  verify  handle  validate  Supported  Features  get  Web  Socket  Client  Registry  get  Mock  Server  Matcher  get  Mock  Server  Log  get  Scheduler  get  Unique  Loop  Prevention  Header  Name  get  Unique  Loop  Prevention  Header  Value  stop,Mock  Server  Logger  Scheduler  Http  Request  Expectation  Http  Request  Expectation  Http  Request  Verification  Verification  Consumer  String  Verification  Sequence  Verification  Sequence  Consumer  String  Http  Request  Response  Writer  boolean  Expectation  Http  Request  Response  Writer,Http  Request,method  path  query  String  Parameters  body  headers  cookies  keep  Alive  secure  socket  Address,request  request  is  Keep  Alive  with  Keep  Alive  is  Secure  with  Secure  get  Socket  Address  with  Socket  Address  with  Socket  Address  with  Method  with  Method  get  Method  get  Method  with  Path  with  Path  get  Path  matches  matches  get  Query  String  Parameters  get  Or  Create  Query  String  Parameters  with  Query  String  Parameters  with  Query  String  Parameters  with  Query  String  Parameters  with  Query  String  Parameters  with  Query  String  Parameter  with  Query  String  Parameter  with  Query  String  Parameter  get  Query  String  Parameter  List  has  Query  String  Parameter  has  Query  String  Parameter  get  First  Query  String  Parameter  with  Body  with  Body  with  Body  with  Body  get  Body  get  Body  As  Raw  Bytes  get  Body  As  String  get  Headers  get  Or  Create  Headers  with  Headers  with  Headers  with  Headers  with  Header  with  Header  with  Header  with  Content  Type  replace  Header  get  Header  List  get  Header  get  First  Header  contains  Header  contains  Header  remove  Header  remove  Header  get  Cookies  get  Or  Create  Cookies  with  Cookies  with  Cookies  with  Cookies  with  Cookie  with  Cookie  with  Cookie  get  Cookie  List  socket  Address  From  Host  Header  clone  update  not  Found  Future,String  Boolean  Boolean  Socket  Address  String  Integer  Socket  Address  Scheme  String  Nottable  String  String  String  Nottable  String  String  String  String  Parameters  List  Parameter  Parameter  List  String  Parameter  String  String  Nottable  String  Nottable  String  String  String  Nottable  String  Nottable  String  String  String  String  Charset  byte  Body  Headers  List  Header  Header  Header  String  String  Nottable  String  Nottable  String  Media  Type  Header  String  String  String  String  String  String  Nottable  String  Cookies  List  Cookie  Cookie  Cookie  String  String  Nottable  String  Nottable  String  Http  Request  Http  Forward  Action,0,0
11,first  Matching  Expectation,Http  Request,Expectation,,is  Empty  first  Matching  Expectation,Http  Request,method  path  query  String  Parameters  body  headers  cookies  keep  Alive  secure  socket  Address,request  request  is  Keep  Alive  with  Keep  Alive  is  Secure  with  Secure  get  Socket  Address  with  Socket  Address  with  Socket  Address  with  Method  with  Method  get  Method  get  Method  with  Path  with  Path  get  Path  matches  matches  get  Query  String  Parameters  get  Or  Create  Query  String  Parameters  with  Query  String  Parameters  with  Query  String  Parameters  with  Query  String  Parameters  with  Query  String  Parameters  with  Query  String  Parameter  with  Query  String  Parameter  with  Query  String  Parameter  get  Query  String  Parameter  List  has  Query  String  Parameter  has  Query  String  Parameter  get  First  Query  String  Parameter  with  Body  with  Body  with  Body  with  Body  get  Body  get  Body  As  Raw  Bytes  get  Body  As  String  get  Headers  get  Or  Create  Headers  with  Headers  with  Headers  with  Headers  with  Header  with  Header  with  Header  with  Content  Type  replace  Header  get  Header  List  get  Header  get  First  Header  contains  Header  contains  Header  remove  Header  remove  Header  get  Cookies  get  Or  Create  Cookies  with  Cookies  with  Cookies  with  Cookies  with  Cookie  with  Cookie  with  Cookie  get  Cookie  List  socket  Address  From  Host  Header  clone  update  not  Found  Future,String  Boolean  Boolean  Socket  Address  String  Integer  Socket  Address  Scheme  String  Nottable  String  String  String  Nottable  String  String  String  String  Parameters  List  Parameter  Parameter  List  String  Parameter  String  String  Nottable  String  Nottable  String  String  String  Nottable  String  Nottable  String  String  String  String  Charset  byte  Body  Headers  List  Header  Header  Header  String  String  Nottable  String  Nottable  String  Media  Type  Header  String  String  String  String  String  String  Nottable  String  Cookies  List  Cookie  Cookie  Cookie  String  String  Nottable  String  Nottable  String  Http  Request  Http  Forward  Action,Http  State  Handler,log  separator  path  prefix  unique  Loop  Prevention  Header  Value  mock  Server  Log  scheduler  expectation  File  System  Persistence  expectation  File  Watcher  mock  Server  Matcher  mock  Server  Logger  web  Socket  Client  Registry  http  Request  Serializer  http  Request  Response  Serializer  expectation  Serializer  http  Request  To  Java  Serializer  expectation  To  Java  Serializer  verification  Serializer  verification  Sequence  Serializer  log  Entry  Serializer,Http  State  Handler  get  Mock  Server  Logger  clear  reset  add  post  Process  retrieve  verify  verify  verify  verify  handle  validate  Supported  Features  get  Web  Socket  Client  Registry  get  Mock  Server  Matcher  get  Mock  Server  Log  get  Scheduler  get  Unique  Loop  Prevention  Header  Name  get  Unique  Loop  Prevention  Header  Value  stop,Mock  Server  Logger  Scheduler  Http  Request  Expectation  Http  Request  Expectation  Http  Request  Verification  Verification  Consumer  String  Verification  Sequence  Verification  Sequence  Consumer  String  Http  Request  Response  Writer  boolean  Expectation  Http  Request  Response  Writer,1,0
12,log,Http  State  Handler,void,,get  Mock  Server  Log  add  get  Mock  Server  Log,Http  State  Handler,log  separator  path  prefix  unique  Loop  Prevention  Header  Value  mock  Server  Log  scheduler  expectation  File  System  Persistence  expectation  File  Watcher  mock  Server  Matcher  mock  Server  Logger  web  Socket  Client  Registry  http  Request  Serializer  http  Request  Response  Serializer  expectation  Serializer  http  Request  To  Java  Serializer  expectation  To  Java  Serializer  verification  Serializer  verification  Sequence  Serializer  log  Entry  Serializer,Http  State  Handler  get  Mock  Server  Logger  clear  reset  add  first  Matching  Expectation  post  Process  retrieve  verify  verify  verify  verify  handle  validate  Supported  Features  get  Web  Socket  Client  Registry  get  Mock  Server  Matcher  get  Mock  Server  Log  get  Scheduler  get  Unique  Loop  Prevention  Header  Name  get  Unique  Loop  Prevention  Header  Value  stop,Mock  Server  Logger  Scheduler  Http  Request  Expectation  Http  Request  Expectation  Http  Request  Verification  Verification  Consumer  String  Verification  Sequence  Verification  Sequence  Consumer  String  Http  Request  Response  Writer  boolean  Expectation  Http  Request  Response  Writer,Log  Entry,object  mapper  excluded  fields  id  log  Level  log  date  format  epoch  Time  timestamp  type  http  Requests  http  Updated  Requests  http  Response  http  Updated  Response  http  Error  expectation  throwable  consumer  match  Difference  message  Format  arguments  message  Log  Message  Type,Log  Entry  id  clear  get  Log  Level  set  Log  Level  get  Epoch  Time  set  Epoch  Time  get  Timestamp  get  Type  set  Type  get  Http  Requests  get  Http  Updated  Requests  matches  set  Http  Requests  get  Http  Request  set  Http  Request  get  Http  Response  get  Http  Updated  Response  set  Http  Response  get  Http  Error  set  Http  Error  get  Expectation  set  Expectation  set  Expectation  get  Throwable  set  Throwable  get  Consumer  set  Consumer  get  Message  Format  set  Message  Format  get  Arguments  set  Arguments  get  Message  set  Match  Difference  update  Body  update  Body  clone  translate  To  fields  Excluded  From  Equals  And  Hash  Code,Level  long  Log  Entry  Log  Message  Type  Http  Request  Matcher  Http  Request  Http  Request  Http  Response  Http  Error  Expectation  Http  Request  Http  Response  Throwable  Runnable  String  Object  Match  Difference  Http  Request  Http  Response  Log  Entry  long  Http  State  Handler,0,0
13,log,Http  State  Handler,void,,get  Mock  Server  Log  add  get  Mock  Server  Log,Log  Entry,object  mapper  excluded  fields  id  log  Level  log  date  format  epoch  Time  timestamp  type  http  Requests  http  Updated  Requests  http  Response  http  Updated  Response  http  Error  expectation  throwable  consumer  match  Difference  message  Format  arguments  message  Log  Message  Type,Log  Entry  id  clear  get  Log  Level  set  Log  Level  get  Epoch  Time  set  Epoch  Time  get  Timestamp  get  Type  set  Type  get  Http  Requests  get  Http  Updated  Requests  matches  set  Http  Requests  get  Http  Request  set  Http  Request  get  Http  Response  get  Http  Updated  Response  set  Http  Response  get  Http  Error  set  Http  Error  get  Expectation  set  Expectation  set  Expectation  get  Throwable  set  Throwable  get  Consumer  set  Consumer  get  Message  Format  set  Message  Format  get  Arguments  set  Arguments  get  Message  set  Match  Difference  update  Body  update  Body  clone  translate  To  fields  Excluded  From  Equals  And  Hash  Code,Level  long  Log  Entry  Log  Message  Type  Http  Request  Matcher  Http  Request  Http  Request  Http  Response  Http  Error  Expectation  Http  Request  Http  Response  Throwable  Runnable  String  Object  Match  Difference  Http  Request  Http  Response  Log  Entry  long  Http  State  Handler,Http  State  Handler,log  separator  path  prefix  unique  Loop  Prevention  Header  Value  mock  Server  Log  scheduler  expectation  File  System  Persistence  expectation  File  Watcher  mock  Server  Matcher  mock  Server  Logger  web  Socket  Client  Registry  http  Request  Serializer  http  Request  Response  Serializer  expectation  Serializer  http  Request  To  Java  Serializer  expectation  To  Java  Serializer  verification  Serializer  verification  Sequence  Serializer  log  Entry  Serializer,Http  State  Handler  get  Mock  Server  Logger  clear  reset  add  first  Matching  Expectation  post  Process  retrieve  verify  verify  verify  verify  handle  validate  Supported  Features  get  Web  Socket  Client  Registry  get  Mock  Server  Matcher  get  Mock  Server  Log  get  Scheduler  get  Unique  Loop  Prevention  Header  Name  get  Unique  Loop  Prevention  Header  Value  stop,Mock  Server  Logger  Scheduler  Http  Request  Expectation  Http  Request  Expectation  Http  Request  Verification  Verification  Consumer  String  Verification  Sequence  Verification  Sequence  Consumer  String  Http  Request  Response  Writer  boolean  Expectation  Http  Request  Response  Writer,1,1
14,verify,Verification,Future  String,,verify,Http  State  Handler,log  separator  path  prefix  unique  Loop  Prevention  Header  Value  mock  Server  Log  scheduler  expectation  File  System  Persistence  expectation  File  Watcher  mock  Server  Matcher  mock  Server  Logger  web  Socket  Client  Registry  http  Request  Serializer  http  Request  Response  Serializer  expectation  Serializer  http  Request  To  Java  Serializer  expectation  To  Java  Serializer  verification  Serializer  verification  Sequence  Serializer  log  Entry  Serializer,Http  State  Handler  get  Mock  Server  Logger  clear  reset  add  first  Matching  Expectation  post  Process  retrieve  verify  verify  verify  handle  validate  Supported  Features  get  Web  Socket  Client  Registry  get  Mock  Server  Matcher  get  Mock  Server  Log  get  Scheduler  get  Unique  Loop  Prevention  Header  Name  get  Unique  Loop  Prevention  Header  Value  stop,Mock  Server  Logger  Scheduler  Http  Request  Expectation  Http  Request  Expectation  Http  Request  Verification  Verification  Consumer  String  Verification  Sequence  Verification  Sequence  Consumer  String  Http  Request  Response  Writer  boolean  Expectation  Http  Request  Response  Writer,Verification,http  Request  times,verification  with  Request  get  Http  Request  with  Times  get  Times,Http  Request  Verification  Times  Mock  Server  Event  Log,0,0
15,verify,Verification,Future  String,,verify,Verification,http  Request  times,verification  with  Request  get  Http  Request  with  Times  get  Times,Http  Request  Verification  Times  Mock  Server  Event  Log,Http  State  Handler,log  separator  path  prefix  unique  Loop  Prevention  Header  Value  mock  Server  Log  scheduler  expectation  File  System  Persistence  expectation  File  Watcher  mock  Server  Matcher  mock  Server  Logger  web  Socket  Client  Registry  http  Request  Serializer  http  Request  Response  Serializer  expectation  Serializer  http  Request  To  Java  Serializer  expectation  To  Java  Serializer  verification  Serializer  verification  Sequence  Serializer  log  Entry  Serializer,Http  State  Handler  get  Mock  Server  Logger  clear  reset  add  first  Matching  Expectation  post  Process  retrieve  verify  verify  verify  handle  validate  Supported  Features  get  Web  Socket  Client  Registry  get  Mock  Server  Matcher  get  Mock  Server  Log  get  Scheduler  get  Unique  Loop  Prevention  Header  Name  get  Unique  Loop  Prevention  Header  Value  stop,Mock  Server  Logger  Scheduler  Http  Request  Expectation  Http  Request  Expectation  Http  Request  Verification  Verification  Consumer  String  Verification  Sequence  Verification  Sequence  Consumer  String  Http  Request  Response  Writer  boolean  Expectation  Http  Request  Response  Writer,1,0
16,verify,Verification,Future  String,,verify,Http  State  Handler,log  separator  path  prefix  unique  Loop  Prevention  Header  Value  mock  Server  Log  scheduler  expectation  File  System  Persistence  expectation  File  Watcher  mock  Server  Matcher  mock  Server  Logger  web  Socket  Client  Registry  http  Request  Serializer  http  Request  Response  Serializer  expectation  Serializer  http  Request  To  Java  Serializer  expectation  To  Java  Serializer  verification  Serializer  verification  Sequence  Serializer  log  Entry  Serializer,Http  State  Handler  get  Mock  Server  Logger  clear  reset  add  first  Matching  Expectation  post  Process  retrieve  verify  verify  verify  handle  validate  Supported  Features  get  Web  Socket  Client  Registry  get  Mock  Server  Matcher  get  Mock  Server  Log  get  Scheduler  get  Unique  Loop  Prevention  Header  Name  get  Unique  Loop  Prevention  Header  Value  stop,Mock  Server  Logger  Scheduler  Http  Request  Expectation  Http  Request  Expectation  Http  Request  Verification  Verification  Consumer  String  Verification  Sequence  Verification  Sequence  Consumer  String  Http  Request  Response  Writer  boolean  Expectation  Http  Request  Response  Writer,Verification  Sequence,http  Requests,verification  Sequence  with  Requests  with  Requests  get  Http  Requests,Http  Request  List  Http  Request,0,0
17,verify,Verification,Future  String,,verify,Verification  Sequence,http  Requests,verification  Sequence  with  Requests  with  Requests  get  Http  Requests,Http  Request  List  Http  Request,Http  State  Handler,log  separator  path  prefix  unique  Loop  Prevention  Header  Value  mock  Server  Log  scheduler  expectation  File  System  Persistence  expectation  File  Watcher  mock  Server  Matcher  mock  Server  Logger  web  Socket  Client  Registry  http  Request  Serializer  http  Request  Response  Serializer  expectation  Serializer  http  Request  To  Java  Serializer  expectation  To  Java  Serializer  verification  Serializer  verification  Sequence  Serializer  log  Entry  Serializer,Http  State  Handler  get  Mock  Server  Logger  clear  reset  add  first  Matching  Expectation  post  Process  retrieve  verify  verify  verify  handle  validate  Supported  Features  get  Web  Socket  Client  Registry  get  Mock  Server  Matcher  get  Mock  Server  Log  get  Scheduler  get  Unique  Loop  Prevention  Header  Name  get  Unique  Loop  Prevention  Header  Value  stop,Mock  Server  Logger  Scheduler  Http  Request  Expectation  Http  Request  Expectation  Http  Request  Verification  Verification  Consumer  String  Verification  Sequence  Verification  Sequence  Consumer  String  Http  Request  Response  Writer  boolean  Expectation  Http  Request  Response  Writer,1,0
18,validate  Supported  Features,Expectation  Http  Request  Response  Writer,boolean,,get  Action  get  Connection  Options  write  Response  response  write  Response  response  write  Response  response,Http  State  Handler,log  separator  path  prefix  unique  Loop  Prevention  Header  Value  mock  Server  Log  scheduler  expectation  File  System  Persistence  expectation  File  Watcher  mock  Server  Matcher  mock  Server  Logger  web  Socket  Client  Registry  http  Request  Serializer  http  Request  Response  Serializer  expectation  Serializer  http  Request  To  Java  Serializer  expectation  To  Java  Serializer  verification  Serializer  verification  Sequence  Serializer  log  Entry  Serializer,Http  State  Handler  get  Mock  Server  Logger  clear  reset  add  first  Matching  Expectation  post  Process  retrieve  verify  verify  verify  verify  handle  get  Web  Socket  Client  Registry  get  Mock  Server  Matcher  get  Mock  Server  Log  get  Scheduler  get  Unique  Loop  Prevention  Header  Name  get  Unique  Loop  Prevention  Header  Value  stop,Mock  Server  Logger  Scheduler  Http  Request  Expectation  Http  Request  Expectation  Http  Request  Verification  Verification  Consumer  String  Verification  Sequence  Verification  Sequence  Consumer  String  Http  Request  Response  Writer  boolean  Expectation  Http  Request  Response  Writer,Expectation,excluded  Fields  expectation  counter  start  time  id  created  priority  http  Request  times  time  To  Live  http  Response  http  Response  Template  http  Response  Class  Callback  http  Response  Object  Callback  http  Forward  http  Forward  Template  http  Forward  Class  Callback  http  Forward  Object  Callback  http  Override  Forwarded  Request  http  Error  expectation  priority  comparator,when  when  when  when  Expectation  Expectation  with  Id  get  Id  get  Priority  with  Created  get  Created  get  Http  Request  get  Http  Response  get  Http  Response  Template  get  Http  Response  Class  Callback  get  Http  Response  Object  Callback  get  Http  Forward  get  Http  Forward  Template  get  Http  Forward  Class  Callback  get  Http  Forward  Object  Callback  get  Http  Override  Forwarded  Request  get  Http  Error  get  Action  get  Times  get  Time  To  Live  then  Respond  then  Respond  then  Respond  then  Respond  then  Forward  then  Forward  then  Forward  then  Forward  then  Forward  then  Error  validation  Errors  is  Active  has  Remaining  Matches  is  Still  Alive  decrement  Remaining  Matches  contains  clone  fields  Excluded  From  Equals  And  Hash  Code,Http  Request  Http  Request  Integer  Http  Request  Times  Time  To  Live  Http  Request  Times  Time  To  Live  Integer  Http  Request  Http  Request  Times  Time  To  Live  Integer  String  long  Http  Response  Http  Template  Http  Class  Callback  Http  Object  Callback  Http  Forward  Http  Template  Http  Class  Callback  Http  Object  Callback  Http  Override  Forwarded  Request  Http  Error  String  Action  Type  Http  Request,0,0
19,validate  Supported  Features,Expectation  Http  Request  Response  Writer,boolean,,get  Action  get  Connection  Options  write  Response  response  write  Response  response  write  Response  response,Expectation,excluded  Fields  expectation  counter  start  time  id  created  priority  http  Request  times  time  To  Live  http  Response  http  Response  Template  http  Response  Class  Callback  http  Response  Object  Callback  http  Forward  http  Forward  Template  http  Forward  Class  Callback  http  Forward  Object  Callback  http  Override  Forwarded  Request  http  Error  expectation  priority  comparator,when  when  when  when  Expectation  Expectation  with  Id  get  Id  get  Priority  with  Created  get  Created  get  Http  Request  get  Http  Response  get  Http  Response  Template  get  Http  Response  Class  Callback  get  Http  Response  Object  Callback  get  Http  Forward  get  Http  Forward  Template  get  Http  Forward  Class  Callback  get  Http  Forward  Object  Callback  get  Http  Override  Forwarded  Request  get  Http  Error  get  Action  get  Times  get  Time  To  Live  then  Respond  then  Respond  then  Respond  then  Respond  then  Forward  then  Forward  then  Forward  then  Forward  then  Forward  then  Error  validation  Errors  is  Active  has  Remaining  Matches  is  Still  Alive  decrement  Remaining  Matches  contains  clone  fields  Excluded  From  Equals  And  Hash  Code,Http  Request  Http  Request  Integer  Http  Request  Times  Time  To  Live  Http  Request  Times  Time  To  Live  Integer  Http  Request  Http  Request  Times  Time  To  Live  Integer  String  long  Http  Response  Http  Template  Http  Class  Callback  Http  Object  Callback  Http  Forward  Http  Template  Http  Class  Callback  Http  Object  Callback  Http  Override  Forwarded  Request  Http  Error  String  Action  Type  Http  Request,Http  State  Handler,log  separator  path  prefix  unique  Loop  Prevention  Header  Value  mock  Server  Log  scheduler  expectation  File  System  Persistence  expectation  File  Watcher  mock  Server  Matcher  mock  Server  Logger  web  Socket  Client  Registry  http  Request  Serializer  http  Request  Response  Serializer  expectation  Serializer  http  Request  To  Java  Serializer  expectation  To  Java  Serializer  verification  Serializer  verification  Sequence  Serializer  log  Entry  Serializer,Http  State  Handler  get  Mock  Server  Logger  clear  reset  add  first  Matching  Expectation  post  Process  retrieve  verify  verify  verify  verify  handle  get  Web  Socket  Client  Registry  get  Mock  Server  Matcher  get  Mock  Server  Log  get  Scheduler  get  Unique  Loop  Prevention  Header  Name  get  Unique  Loop  Prevention  Header  Value  stop,Mock  Server  Logger  Scheduler  Http  Request  Expectation  Http  Request  Expectation  Http  Request  Verification  Verification  Consumer  String  Verification  Sequence  Verification  Sequence  Consumer  String  Http  Request  Response  Writer  boolean  Expectation  Http  Request  Response  Writer,1,0
20,validate  Supported  Features,Expectation  Http  Request  Response  Writer,boolean,,get  Action  get  Connection  Options  write  Response  response  write  Response  response  write  Response  response,Http  State  Handler,log  separator  path  prefix  unique  Loop  Prevention  Header  Value  mock  Server  Log  scheduler  expectation  File  System  Persistence  expectation  File  Watcher  mock  Server  Matcher  mock  Server  Logger  web  Socket  Client  Registry  http  Request  Serializer  http  Request  Response  Serializer  expectation  Serializer  http  Request  To  Java  Serializer  expectation  To  Java  Serializer  verification  Serializer  verification  Sequence  Serializer  log  Entry  Serializer,Http  State  Handler  get  Mock  Server  Logger  clear  reset  add  first  Matching  Expectation  post  Process  retrieve  verify  verify  verify  verify  handle  get  Web  Socket  Client  Registry  get  Mock  Server  Matcher  get  Mock  Server  Log  get  Scheduler  get  Unique  Loop  Prevention  Header  Name  get  Unique  Loop  Prevention  Header  Value  stop,Mock  Server  Logger  Scheduler  Http  Request  Expectation  Http  Request  Expectation  Http  Request  Verification  Verification  Consumer  String  Verification  Sequence  Verification  Sequence  Consumer  String  Http  Request  Response  Writer  boolean  Expectation  Http  Request  Response  Writer,Response  Writer,,write  Response  write  Response  write  Response  add  Connection  Header,Http  Request  Http  Response  Status  Http  Request  Http  Response  Status  String  String  Http  Request  Http  Response  boolean  Http  Request  Http  Response,0,0
21,validate  Supported  Features,Expectation  Http  Request  Response  Writer,boolean,,get  Action  get  Connection  Options  write  Response  response  write  Response  response  write  Response  response,Response  Writer,,write  Response  write  Response  write  Response  add  Connection  Header,Http  Request  Http  Response  Status  Http  Request  Http  Response  Status  String  String  Http  Request  Http  Response  boolean  Http  Request  Http  Response,Http  State  Handler,log  separator  path  prefix  unique  Loop  Prevention  Header  Value  mock  Server  Log  scheduler  expectation  File  System  Persistence  expectation  File  Watcher  mock  Server  Matcher  mock  Server  Logger  web  Socket  Client  Registry  http  Request  Serializer  http  Request  Response  Serializer  expectation  Serializer  http  Request  To  Java  Serializer  expectation  To  Java  Serializer  verification  Serializer  verification  Sequence  Serializer  log  Entry  Serializer,Http  State  Handler  get  Mock  Server  Logger  clear  reset  add  first  Matching  Expectation  post  Process  retrieve  verify  verify  verify  verify  handle  get  Web  Socket  Client  Registry  get  Mock  Server  Matcher  get  Mock  Server  Log  get  Scheduler  get  Unique  Loop  Prevention  Header  Name  get  Unique  Loop  Prevention  Header  Value  stop,Mock  Server  Logger  Scheduler  Http  Request  Expectation  Http  Request  Expectation  Http  Request  Verification  Verification  Consumer  String  Verification  Sequence  Verification  Sequence  Consumer  String  Http  Request  Response  Writer  boolean  Expectation  Http  Request  Response  Writer,1,0
22,validate  Supported  Features,Expectation  Http  Request  Response  Writer,boolean,,get  Action  get  Connection  Options  write  Response  response  write  Response  response  write  Response  response,Http  State  Handler,log  separator  path  prefix  unique  Loop  Prevention  Header  Value  mock  Server  Log  scheduler  expectation  File  System  Persistence  expectation  File  Watcher  mock  Server  Matcher  mock  Server  Logger  web  Socket  Client  Registry  http  Request  Serializer  http  Request  Response  Serializer  expectation  Serializer  http  Request  To  Java  Serializer  expectation  To  Java  Serializer  verification  Serializer  verification  Sequence  Serializer  log  Entry  Serializer,Http  State  Handler  get  Mock  Server  Logger  clear  reset  add  first  Matching  Expectation  post  Process  retrieve  verify  verify  verify  verify  handle  get  Web  Socket  Client  Registry  get  Mock  Server  Matcher  get  Mock  Server  Log  get  Scheduler  get  Unique  Loop  Prevention  Header  Name  get  Unique  Loop  Prevention  Header  Value  stop,Mock  Server  Logger  Scheduler  Http  Request  Expectation  Http  Request  Expectation  Http  Request  Verification  Verification  Consumer  String  Verification  Sequence  Verification  Sequence  Consumer  String  Http  Request  Response  Writer  boolean  Expectation  Http  Request  Response  Writer,Http  Request,method  path  query  String  Parameters  body  headers  cookies  keep  Alive  secure  socket  Address,request  request  is  Keep  Alive  with  Keep  Alive  is  Secure  with  Secure  get  Socket  Address  with  Socket  Address  with  Socket  Address  with  Method  with  Method  get  Method  get  Method  with  Path  with  Path  get  Path  matches  matches  get  Query  String  Parameters  get  Or  Create  Query  String  Parameters  with  Query  String  Parameters  with  Query  String  Parameters  with  Query  String  Parameters  with  Query  String  Parameters  with  Query  String  Parameter  with  Query  String  Parameter  with  Query  String  Parameter  get  Query  String  Parameter  List  has  Query  String  Parameter  has  Query  String  Parameter  get  First  Query  String  Parameter  with  Body  with  Body  with  Body  with  Body  get  Body  get  Body  As  Raw  Bytes  get  Body  As  String  get  Headers  get  Or  Create  Headers  with  Headers  with  Headers  with  Headers  with  Header  with  Header  with  Header  with  Content  Type  replace  Header  get  Header  List  get  Header  get  First  Header  contains  Header  contains  Header  remove  Header  remove  Header  get  Cookies  get  Or  Create  Cookies  with  Cookies  with  Cookies  with  Cookies  with  Cookie  with  Cookie  with  Cookie  get  Cookie  List  socket  Address  From  Host  Header  clone  update  not  Found  Future,String  Boolean  Boolean  Socket  Address  String  Integer  Socket  Address  Scheme  String  Nottable  String  String  String  Nottable  String  String  String  String  Parameters  List  Parameter  Parameter  List  String  Parameter  String  String  Nottable  String  Nottable  String  String  String  Nottable  String  Nottable  String  String  String  String  Charset  byte  Body  Headers  List  Header  Header  Header  String  String  Nottable  String  Nottable  String  Media  Type  Header  String  String  String  String  String  String  Nottable  String  Cookies  List  Cookie  Cookie  Cookie  String  String  Nottable  String  Nottable  String  Http  Request  Http  Forward  Action,0,0
23,validate  Supported  Features,Expectation  Http  Request  Response  Writer,boolean,,get  Action  get  Connection  Options  write  Response  response  write  Response  response  write  Response  response,Http  Request,method  path  query  String  Parameters  body  headers  cookies  keep  Alive  secure  socket  Address,request  request  is  Keep  Alive  with  Keep  Alive  is  Secure  with  Secure  get  Socket  Address  with  Socket  Address  with  Socket  Address  with  Method  with  Method  get  Method  get  Method  with  Path  with  Path  get  Path  matches  matches  get  Query  String  Parameters  get  Or  Create  Query  String  Parameters  with  Query  String  Parameters  with  Query  String  Parameters  with  Query  String  Parameters  with  Query  String  Parameters  with  Query  String  Parameter  with  Query  String  Parameter  with  Query  String  Parameter  get  Query  String  Parameter  List  has  Query  String  Parameter  has  Query  String  Parameter  get  First  Query  String  Parameter  with  Body  with  Body  with  Body  with  Body  get  Body  get  Body  As  Raw  Bytes  get  Body  As  String  get  Headers  get  Or  Create  Headers  with  Headers  with  Headers  with  Headers  with  Header  with  Header  with  Header  with  Content  Type  replace  Header  get  Header  List  get  Header  get  First  Header  contains  Header  contains  Header  remove  Header  remove  Header  get  Cookies  get  Or  Create  Cookies  with  Cookies  with  Cookies  with  Cookies  with  Cookie  with  Cookie  with  Cookie  get  Cookie  List  socket  Address  From  Host  Header  clone  update  not  Found  Future,String  Boolean  Boolean  Socket  Address  String  Integer  Socket  Address  Scheme  String  Nottable  String  String  String  Nottable  String  String  String  String  Parameters  List  Parameter  Parameter  List  String  Parameter  String  String  Nottable  String  Nottable  String  String  String  Nottable  String  Nottable  String  String  String  String  Charset  byte  Body  Headers  List  Header  Header  Header  String  String  Nottable  String  Nottable  String  Media  Type  Header  String  String  String  String  String  String  Nottable  String  Cookies  List  Cookie  Cookie  Cookie  String  String  Nottable  String  Nottable  String  Http  Request  Http  Forward  Action,Http  State  Handler,log  separator  path  prefix  unique  Loop  Prevention  Header  Value  mock  Server  Log  scheduler  expectation  File  System  Persistence  expectation  File  Watcher  mock  Server  Matcher  mock  Server  Logger  web  Socket  Client  Registry  http  Request  Serializer  http  Request  Response  Serializer  expectation  Serializer  http  Request  To  Java  Serializer  expectation  To  Java  Serializer  verification  Serializer  verification  Sequence  Serializer  log  Entry  Serializer,Http  State  Handler  get  Mock  Server  Logger  clear  reset  add  first  Matching  Expectation  post  Process  retrieve  verify  verify  verify  verify  handle  get  Web  Socket  Client  Registry  get  Mock  Server  Matcher  get  Mock  Server  Log  get  Scheduler  get  Unique  Loop  Prevention  Header  Name  get  Unique  Loop  Prevention  Header  Value  stop,Mock  Server  Logger  Scheduler  Http  Request  Expectation  Http  Request  Expectation  Http  Request  Verification  Verification  Consumer  String  Verification  Sequence  Verification  Sequence  Consumer  String  Http  Request  Response  Writer  boolean  Expectation  Http  Request  Response  Writer,1,0
