id,method-name,parametes-method,return-method,field-access,methods-method,contain-class-name,attributes-class,methods-class,target-class-name,attributes-class,methods-class,tag,move-tag
10,send  Registration  Form,Fillable  Form,void,,set  Type  set  To  add  Extension  get  Data  Form  To  Submit  next  Result  Or  Throw  create  Stanza  Collector  And  Send,Multi  User  Chat,logger  known  muc  services  connection  room  multi  User  Chat  Manager  occupants  Map  invitation  Rejection  Listeners  subject  Updated  Listeners  user  Status  Listeners  participant  Status  Listeners  message  Listeners  presence  Listeners  presence  Interceptors  from  Room  Filter  from  Room  Groupchat  Filter  presence  Interceptor  message  Listener  presence  Listener  subject  Listener  decline  filter  declines  Listener  subject  my  Room  Jid  message  Collector  Muc  Create  Config  Form  Handle,Multi  User  Chat  process  Stanza  process  Stanza  process  Stanza  process  Stanza  process  Stanza  get  Room  enter  set  Nickname  get  Enter  Configuration  Builder  create  create  Or  Join  create  Or  Join  encrypt  make  Instant  get  Config  Form  Manager  create  Or  Join  If  Necessary  join  join  join  is  Joined  leave  Sync  leave  get  Config  Form  Manager  get  Configuration  Form  send  Configuration  Form  get  Registration  Form  destroy  invite  invite  invite  add  Invitation  Rejection  Listener  remove  Invitation  Rejection  Listener  fire  Invitation  Rejection  Listeners  add  Subject  Updated  Listener  remove  Subject  Updated  Listener  add  Presence  Interceptor  remove  Presence  Interceptor  get  Subject  get  Reserved  Nickname  get  Nickname  change  Nickname  change  Availability  Status  kick  Participant  request  Voice  grant  Voice  grant  Voice  revoke  Voice  revoke  Voice  ban  Users  ban  User  grant  Membership  grant  Membership  revoke  Membership  revoke  Membership  grant  Moderator  grant  Moderator  revoke  Moderator  revoke  Moderator  grant  Ownership  grant  Ownership  revoke  Ownership  revoke  Ownership  grant  Admin  grant  Admin  revoke  Admin  revoke  Admin  change  Affiliation  By  Admin  change  Affiliation  By  Admin  change  Affiliation  By  Admin  change  Role  change  Role  get  Occupants  Count  get  Occupants  get  Occupant  Presence  get  Occupant  add  Participant  Listener  remove  Participant  Listener  get  Owners  get  Admins  get  Members  get  Outcasts  get  Affiliates  By  Admin  get  Moderators  get  Participants  get  Occupants  send  Message  create  Private  Chat  create  Message  build  Message  send  Message  send  Message  poll  Message  next  Message  next  Message  add  Message  Listener  remove  Message  Listener  change  Subject  accept  remove  Connection  Callbacks  user  Has  Left  add  User  Status  Listener  remove  User  Status  Listener  add  Participant  Status  Listener  remove  Participant  Status  Listener  check  Role  Modifications  check  Affiliation  Modifications  check  Presence  Code  get  Xmpp  Connection  to  String,Fillable  Form,required  Fields  filled  Required  Fields  missing  Required  Fields  filled  Fields,Fillable  Form  write  List  Multi  write  Text  Single  write  Boolean  write  write  set  Answer  create  Multi  Kind  Fieldbuilder  set  Answer  set  Answer  create  Single  Kind  Field  Builder  set  Answer  write  get  Field  get  Data  Form  To  Submit,0,0
11,send  Registration  Form,Fillable  Form,void,,set  Type  set  To  add  Extension  get  Data  Form  To  Submit  next  Result  Or  Throw  create  Stanza  Collector  And  Send,Fillable  Form,required  Fields  filled  Required  Fields  missing  Required  Fields  filled  Fields,Fillable  Form  write  List  Multi  write  Text  Single  write  Boolean  write  write  set  Answer  create  Multi  Kind  Fieldbuilder  set  Answer  set  Answer  create  Single  Kind  Field  Builder  set  Answer  write  get  Field  get  Data  Form  To  Submit,Multi  User  Chat,logger  known  muc  services  connection  room  multi  User  Chat  Manager  occupants  Map  invitation  Rejection  Listeners  subject  Updated  Listeners  user  Status  Listeners  participant  Status  Listeners  message  Listeners  presence  Listeners  presence  Interceptors  from  Room  Filter  from  Room  Groupchat  Filter  presence  Interceptor  message  Listener  presence  Listener  subject  Listener  decline  filter  declines  Listener  subject  my  Room  Jid  message  Collector  Muc  Create  Config  Form  Handle,Multi  User  Chat  process  Stanza  process  Stanza  process  Stanza  process  Stanza  process  Stanza  get  Room  enter  set  Nickname  get  Enter  Configuration  Builder  create  create  Or  Join  create  Or  Join  encrypt  make  Instant  get  Config  Form  Manager  create  Or  Join  If  Necessary  join  join  join  is  Joined  leave  Sync  leave  get  Config  Form  Manager  get  Configuration  Form  send  Configuration  Form  get  Registration  Form  destroy  invite  invite  invite  add  Invitation  Rejection  Listener  remove  Invitation  Rejection  Listener  fire  Invitation  Rejection  Listeners  add  Subject  Updated  Listener  remove  Subject  Updated  Listener  add  Presence  Interceptor  remove  Presence  Interceptor  get  Subject  get  Reserved  Nickname  get  Nickname  change  Nickname  change  Availability  Status  kick  Participant  request  Voice  grant  Voice  grant  Voice  revoke  Voice  revoke  Voice  ban  Users  ban  User  grant  Membership  grant  Membership  revoke  Membership  revoke  Membership  grant  Moderator  grant  Moderator  revoke  Moderator  revoke  Moderator  grant  Ownership  grant  Ownership  revoke  Ownership  revoke  Ownership  grant  Admin  grant  Admin  revoke  Admin  revoke  Admin  change  Affiliation  By  Admin  change  Affiliation  By  Admin  change  Affiliation  By  Admin  change  Role  change  Role  get  Occupants  Count  get  Occupants  get  Occupant  Presence  get  Occupant  add  Participant  Listener  remove  Participant  Listener  get  Owners  get  Admins  get  Members  get  Outcasts  get  Affiliates  By  Admin  get  Moderators  get  Participants  get  Occupants  send  Message  create  Private  Chat  create  Message  build  Message  send  Message  send  Message  poll  Message  next  Message  next  Message  add  Message  Listener  remove  Message  Listener  change  Subject  accept  remove  Connection  Callbacks  user  Has  Left  add  User  Status  Listener  remove  User  Status  Listener  add  Participant  Status  Listener  remove  Participant  Status  Listener  check  Role  Modifications  check  Affiliation  Modifications  check  Presence  Code  get  Xmpp  Connection  to  String,1,0
12,invite,Entity  Bare  Jid  String,void,,invite  build  Message  Stanza  get  Stanza  Factory,Multi  User  Chat,logger  known  muc  services  connection  room  multi  User  Chat  Manager  occupants  Map  invitation  Rejection  Listeners  subject  Updated  Listeners  user  Status  Listeners  participant  Status  Listeners  message  Listeners  presence  Listeners  presence  Interceptors  from  Room  Filter  from  Room  Groupchat  Filter  presence  Interceptor  message  Listener  presence  Listener  subject  Listener  decline  filter  declines  Listener  subject  my  Room  Jid  message  Collector  Muc  Create  Config  Form  Handle,Multi  User  Chat  process  Stanza  process  Stanza  process  Stanza  process  Stanza  process  Stanza  get  Room  enter  set  Nickname  get  Enter  Configuration  Builder  create  create  Or  Join  create  Or  Join  encrypt  make  Instant  get  Config  Form  Manager  create  Or  Join  If  Necessary  join  join  join  is  Joined  leave  Sync  leave  get  Config  Form  Manager  get  Configuration  Form  send  Configuration  Form  get  Registration  Form  send  Registration  Form  destroy  invite  invite  add  Invitation  Rejection  Listener  remove  Invitation  Rejection  Listener  fire  Invitation  Rejection  Listeners  add  Subject  Updated  Listener  remove  Subject  Updated  Listener  add  Presence  Interceptor  remove  Presence  Interceptor  get  Subject  get  Reserved  Nickname  get  Nickname  change  Nickname  change  Availability  Status  kick  Participant  request  Voice  grant  Voice  grant  Voice  revoke  Voice  revoke  Voice  ban  Users  ban  User  grant  Membership  grant  Membership  revoke  Membership  revoke  Membership  grant  Moderator  grant  Moderator  revoke  Moderator  revoke  Moderator  grant  Ownership  grant  Ownership  revoke  Ownership  revoke  Ownership  grant  Admin  grant  Admin  revoke  Admin  revoke  Admin  change  Affiliation  By  Admin  change  Affiliation  By  Admin  change  Affiliation  By  Admin  change  Role  change  Role  get  Occupants  Count  get  Occupants  get  Occupant  Presence  get  Occupant  add  Participant  Listener  remove  Participant  Listener  get  Owners  get  Admins  get  Members  get  Outcasts  get  Affiliates  By  Admin  get  Moderators  get  Participants  get  Occupants  send  Message  create  Private  Chat  create  Message  build  Message  send  Message  send  Message  poll  Message  next  Message  next  Message  add  Message  Listener  remove  Message  Listener  change  Subject  accept  remove  Connection  Callbacks  user  Has  Left  add  User  Status  Listener  remove  User  Status  Listener  add  Participant  Status  Listener  remove  Participant  Status  Listener  check  Role  Modifications  check  Affiliation  Modifications  check  Presence  Code  get  Xmpp  Connection  to  String,Message,element  body  type  Subject  element  namespace  qname  subject  language  hash  Code  Cache  Body  element  namespace  qname  Body  Element  Namespace  xml  Namespace  message  language  namespace  hash  Code  Cache  Thread  element  namespace  qname  parent  attribute  name  thread  parent  Type,Message  Message  Message  Message  Message  Message  Message  Message  get  Type  set  Type  get  Subject  get  Subject  get  Message  Subject  get  Subjects  set  Subject  add  Subject  remove  Subject  remove  Subject  get  Subject  Languages  get  Body  get  Body  get  Message  Body  get  Bodies  set  Body  set  Body  add  Body  remove  Body  remove  Body  get  Body  Languages  get  Thread  set  Thread  determine  Language  get  Element  Name  as  Builder  to  String  to  X  M  L  clone  Subject  get  Language  get  Subject  hash  Code  equals  get  Element  Name  get  Namespace  to  X  M  L  Body  Element  Namespace  get  Namespace  Body  Body  get  Language  get  Message  hash  Code  equals  get  Element  Name  get  Namespace  to  X  M  L  Thread  Thread  get  Thread  get  Parent  get  Element  Name  get  Namespace  get  Q  Name  to  X  M  L  from  String,0,0
13,invite,Entity  Bare  Jid  String,void,,invite  build  Message  Stanza  get  Stanza  Factory,Message,element  body  type  Subject  element  namespace  qname  subject  language  hash  Code  Cache  Body  element  namespace  qname  Body  Element  Namespace  xml  Namespace  message  language  namespace  hash  Code  Cache  Thread  element  namespace  qname  parent  attribute  name  thread  parent  Type,Message  Message  Message  Message  Message  Message  Message  Message  get  Type  set  Type  get  Subject  get  Subject  get  Message  Subject  get  Subjects  set  Subject  add  Subject  remove  Subject  remove  Subject  get  Subject  Languages  get  Body  get  Body  get  Message  Body  get  Bodies  set  Body  set  Body  add  Body  remove  Body  remove  Body  get  Body  Languages  get  Thread  set  Thread  determine  Language  get  Element  Name  as  Builder  to  String  to  X  M  L  clone  Subject  get  Language  get  Subject  hash  Code  equals  get  Element  Name  get  Namespace  to  X  M  L  Body  Element  Namespace  get  Namespace  Body  Body  get  Language  get  Message  hash  Code  equals  get  Element  Name  get  Namespace  to  X  M  L  Thread  Thread  get  Thread  get  Parent  get  Element  Name  get  Namespace  get  Q  Name  to  X  M  L  from  String,Multi  User  Chat,logger  known  muc  services  connection  room  multi  User  Chat  Manager  occupants  Map  invitation  Rejection  Listeners  subject  Updated  Listeners  user  Status  Listeners  participant  Status  Listeners  message  Listeners  presence  Listeners  presence  Interceptors  from  Room  Filter  from  Room  Groupchat  Filter  presence  Interceptor  message  Listener  presence  Listener  subject  Listener  decline  filter  declines  Listener  subject  my  Room  Jid  message  Collector  Muc  Create  Config  Form  Handle,Multi  User  Chat  process  Stanza  process  Stanza  process  Stanza  process  Stanza  process  Stanza  get  Room  enter  set  Nickname  get  Enter  Configuration  Builder  create  create  Or  Join  create  Or  Join  encrypt  make  Instant  get  Config  Form  Manager  create  Or  Join  If  Necessary  join  join  join  is  Joined  leave  Sync  leave  get  Config  Form  Manager  get  Configuration  Form  send  Configuration  Form  get  Registration  Form  send  Registration  Form  destroy  invite  invite  add  Invitation  Rejection  Listener  remove  Invitation  Rejection  Listener  fire  Invitation  Rejection  Listeners  add  Subject  Updated  Listener  remove  Subject  Updated  Listener  add  Presence  Interceptor  remove  Presence  Interceptor  get  Subject  get  Reserved  Nickname  get  Nickname  change  Nickname  change  Availability  Status  kick  Participant  request  Voice  grant  Voice  grant  Voice  revoke  Voice  revoke  Voice  ban  Users  ban  User  grant  Membership  grant  Membership  revoke  Membership  revoke  Membership  grant  Moderator  grant  Moderator  revoke  Moderator  revoke  Moderator  grant  Ownership  grant  Ownership  revoke  Ownership  revoke  Ownership  grant  Admin  grant  Admin  revoke  Admin  revoke  Admin  change  Affiliation  By  Admin  change  Affiliation  By  Admin  change  Affiliation  By  Admin  change  Role  change  Role  get  Occupants  Count  get  Occupants  get  Occupant  Presence  get  Occupant  add  Participant  Listener  remove  Participant  Listener  get  Owners  get  Admins  get  Members  get  Outcasts  get  Affiliates  By  Admin  get  Moderators  get  Participants  get  Occupants  send  Message  create  Private  Chat  create  Message  build  Message  send  Message  send  Message  poll  Message  next  Message  next  Message  add  Message  Listener  remove  Message  Listener  change  Subject  accept  remove  Connection  Callbacks  user  Has  Left  add  User  Status  Listener  remove  User  Status  Listener  add  Participant  Status  Listener  remove  Participant  Status  Listener  check  Role  Modifications  check  Affiliation  Modifications  check  Presence  Code  get  Xmpp  Connection  to  String,1,0
14,create  Error  Unknown  Session,Jingle  Util,iq,,build  add  Extension  set  Condition  get  Builder  create  Error  Response,Jingle  Util,connection,Jingle  Util  create  Session  Initiate  create  Session  Initiate  File  Offer  send  Session  Initiate  File  Offer  send  Session  Initiate  create  Session  Accept  send  Session  Accept  create  Session  Terminate  create  Session  Terminate  create  Session  Terminate  Decline  send  Session  Terminate  Decline  create  Session  Terminate  Success  send  Session  Terminate  Success  create  Session  Terminate  Busy  send  Session  Terminate  Busy  create  Session  Terminate  Alternative  Session  send  Session  Terminate  Alternative  Session  create  Session  Terminate  Cancel  send  Session  Terminate  Cancel  create  Session  Terminate  Content  Cancel  send  Session  Terminate  Content  Cancel  create  Session  Terminate  Unsupported  Transports  send  Session  Terminate  Unsupported  Transports  create  Session  Terminate  Failed  Transport  send  Session  Terminate  Failed  Transport  create  Session  Terminate  Unsupported  Applications  send  Session  Terminate  Unsupported  Applications  create  Session  Terminate  Failed  Application  send  Session  Terminate  Failed  Application  create  Session  Terminate  Incompatible  Parameters  send  Session  Terminate  Incompatible  Parameters  send  Content  Reject  File  Not  Available  create  Session  Ping  send  Session  Ping  create  Ack  send  Ack  create  Transport  Replace  send  Transport  Replace  create  Transport  Accept  send  Transport  Accept  create  Transport  Reject  send  Transport  Reject  send  Error  Unknown  Session  create  Error  Unknown  Initiator  send  Error  Unknown  Initiator  create  Error  Unsupported  Info  send  Error  Unsupported  Info  create  Error  Tie  Break  send  Error  Tie  Break  create  Error  Out  Of  Order  send  Error  Out  Of  Order  create  Error  Malformed  Request  send  Error  Malformed  Request,Jingle,namespace  action  attribute  name  initiator  attribute  name  responder  attribute  name  session  id  attribute  name  element  session  Id  action  initiator  responder  reason  contents  Builder  sid  action  initiator  responder  reason  contents,Jingle  get  Initiator  get  Responder  get  Sid  get  Action  get  Reason  get  Contents  get  Sole  Content  Or  Throw  get  I  Q  Child  Element  Builder  get  Builder  Builder  set  Session  Id  set  Action  set  Initiator  set  Responder  add  Jingle  Content  set  Reason  set  Reason  build,0,0
15,create  Error  Unknown  Session,Jingle  Util,iq,,build  add  Extension  set  Condition  get  Builder  create  Error  Response,Jingle,namespace  action  attribute  name  initiator  attribute  name  responder  attribute  name  session  id  attribute  name  element  session  Id  action  initiator  responder  reason  contents  Builder  sid  action  initiator  responder  reason  contents,Jingle  get  Initiator  get  Responder  get  Sid  get  Action  get  Reason  get  Contents  get  Sole  Content  Or  Throw  get  I  Q  Child  Element  Builder  get  Builder  Builder  set  Session  Id  set  Action  set  Initiator  set  Responder  add  Jingle  Content  set  Reason  set  Reason  build,Jingle  Util,connection,Jingle  Util  create  Session  Initiate  create  Session  Initiate  File  Offer  send  Session  Initiate  File  Offer  send  Session  Initiate  create  Session  Accept  send  Session  Accept  create  Session  Terminate  create  Session  Terminate  create  Session  Terminate  Decline  send  Session  Terminate  Decline  create  Session  Terminate  Success  send  Session  Terminate  Success  create  Session  Terminate  Busy  send  Session  Terminate  Busy  create  Session  Terminate  Alternative  Session  send  Session  Terminate  Alternative  Session  create  Session  Terminate  Cancel  send  Session  Terminate  Cancel  create  Session  Terminate  Content  Cancel  send  Session  Terminate  Content  Cancel  create  Session  Terminate  Unsupported  Transports  send  Session  Terminate  Unsupported  Transports  create  Session  Terminate  Failed  Transport  send  Session  Terminate  Failed  Transport  create  Session  Terminate  Unsupported  Applications  send  Session  Terminate  Unsupported  Applications  create  Session  Terminate  Failed  Application  send  Session  Terminate  Failed  Application  create  Session  Terminate  Incompatible  Parameters  send  Session  Terminate  Incompatible  Parameters  send  Content  Reject  File  Not  Available  create  Session  Ping  send  Session  Ping  create  Ack  send  Ack  create  Transport  Replace  send  Transport  Replace  create  Transport  Accept  send  Transport  Accept  create  Transport  Reject  send  Transport  Reject  send  Error  Unknown  Session  create  Error  Unknown  Initiator  send  Error  Unknown  Initiator  create  Error  Unsupported  Info  send  Error  Unsupported  Info  create  Error  Tie  Break  send  Error  Tie  Break  create  Error  Out  Of  Order  send  Error  Out  Of  Order  create  Error  Malformed  Request  send  Error  Malformed  Request,1,1
16,create  Error  Unsupported  Info,Jingle,iq,,build  add  Extension  set  Condition  get  Builder  create  Error  Response,Jingle  Util,connection,Jingle  Util  create  Session  Initiate  create  Session  Initiate  File  Offer  send  Session  Initiate  File  Offer  send  Session  Initiate  create  Session  Accept  send  Session  Accept  create  Session  Terminate  create  Session  Terminate  create  Session  Terminate  Decline  send  Session  Terminate  Decline  create  Session  Terminate  Success  send  Session  Terminate  Success  create  Session  Terminate  Busy  send  Session  Terminate  Busy  create  Session  Terminate  Alternative  Session  send  Session  Terminate  Alternative  Session  create  Session  Terminate  Cancel  send  Session  Terminate  Cancel  create  Session  Terminate  Content  Cancel  send  Session  Terminate  Content  Cancel  create  Session  Terminate  Unsupported  Transports  send  Session  Terminate  Unsupported  Transports  create  Session  Terminate  Failed  Transport  send  Session  Terminate  Failed  Transport  create  Session  Terminate  Unsupported  Applications  send  Session  Terminate  Unsupported  Applications  create  Session  Terminate  Failed  Application  send  Session  Terminate  Failed  Application  create  Session  Terminate  Incompatible  Parameters  send  Session  Terminate  Incompatible  Parameters  send  Content  Reject  File  Not  Available  create  Session  Ping  send  Session  Ping  create  Ack  send  Ack  create  Transport  Replace  send  Transport  Replace  create  Transport  Accept  send  Transport  Accept  create  Transport  Reject  send  Transport  Reject  send  Error  Unknown  Session  create  Error  Unknown  Initiator  send  Error  Unknown  Initiator  send  Error  Unsupported  Info  create  Error  Tie  Break  send  Error  Tie  Break  create  Error  Out  Of  Order  send  Error  Out  Of  Order  create  Error  Malformed  Request  send  Error  Malformed  Request,Jingle,namespace  action  attribute  name  initiator  attribute  name  responder  attribute  name  session  id  attribute  name  element  session  Id  action  initiator  responder  reason  contents  Builder  sid  action  initiator  responder  reason  contents,Jingle  get  Initiator  get  Responder  get  Sid  get  Action  get  Reason  get  Contents  get  Sole  Content  Or  Throw  get  I  Q  Child  Element  Builder  get  Builder  create  Error  Unknown  Session  Builder  set  Session  Id  set  Action  set  Initiator  set  Responder  add  Jingle  Content  set  Reason  set  Reason  build,0,0
17,create  Error  Unsupported  Info,Jingle,iq,,build  add  Extension  set  Condition  get  Builder  create  Error  Response,Jingle,namespace  action  attribute  name  initiator  attribute  name  responder  attribute  name  session  id  attribute  name  element  session  Id  action  initiator  responder  reason  contents  Builder  sid  action  initiator  responder  reason  contents,Jingle  get  Initiator  get  Responder  get  Sid  get  Action  get  Reason  get  Contents  get  Sole  Content  Or  Throw  get  I  Q  Child  Element  Builder  get  Builder  create  Error  Unknown  Session  Builder  set  Session  Id  set  Action  set  Initiator  set  Responder  add  Jingle  Content  set  Reason  set  Reason  build,Jingle  Util,connection,Jingle  Util  create  Session  Initiate  create  Session  Initiate  File  Offer  send  Session  Initiate  File  Offer  send  Session  Initiate  create  Session  Accept  send  Session  Accept  create  Session  Terminate  create  Session  Terminate  create  Session  Terminate  Decline  send  Session  Terminate  Decline  create  Session  Terminate  Success  send  Session  Terminate  Success  create  Session  Terminate  Busy  send  Session  Terminate  Busy  create  Session  Terminate  Alternative  Session  send  Session  Terminate  Alternative  Session  create  Session  Terminate  Cancel  send  Session  Terminate  Cancel  create  Session  Terminate  Content  Cancel  send  Session  Terminate  Content  Cancel  create  Session  Terminate  Unsupported  Transports  send  Session  Terminate  Unsupported  Transports  create  Session  Terminate  Failed  Transport  send  Session  Terminate  Failed  Transport  create  Session  Terminate  Unsupported  Applications  send  Session  Terminate  Unsupported  Applications  create  Session  Terminate  Failed  Application  send  Session  Terminate  Failed  Application  create  Session  Terminate  Incompatible  Parameters  send  Session  Terminate  Incompatible  Parameters  send  Content  Reject  File  Not  Available  create  Session  Ping  send  Session  Ping  create  Ack  send  Ack  create  Transport  Replace  send  Transport  Replace  create  Transport  Accept  send  Transport  Accept  create  Transport  Reject  send  Transport  Reject  send  Error  Unknown  Session  create  Error  Unknown  Initiator  send  Error  Unknown  Initiator  send  Error  Unsupported  Info  create  Error  Tie  Break  send  Error  Tie  Break  create  Error  Out  Of  Order  send  Error  Out  Of  Order  create  Error  Malformed  Request  send  Error  Malformed  Request,1,0
18,create  Error  Tie  Break,Jingle,iq,,build  add  Extension  set  Condition  get  Builder  create  Error  Response,Jingle  Util,connection,Jingle  Util  create  Session  Initiate  create  Session  Initiate  File  Offer  send  Session  Initiate  File  Offer  send  Session  Initiate  create  Session  Accept  send  Session  Accept  create  Session  Terminate  create  Session  Terminate  create  Session  Terminate  Decline  send  Session  Terminate  Decline  create  Session  Terminate  Success  send  Session  Terminate  Success  create  Session  Terminate  Busy  send  Session  Terminate  Busy  create  Session  Terminate  Alternative  Session  send  Session  Terminate  Alternative  Session  create  Session  Terminate  Cancel  send  Session  Terminate  Cancel  create  Session  Terminate  Content  Cancel  send  Session  Terminate  Content  Cancel  create  Session  Terminate  Unsupported  Transports  send  Session  Terminate  Unsupported  Transports  create  Session  Terminate  Failed  Transport  send  Session  Terminate  Failed  Transport  create  Session  Terminate  Unsupported  Applications  send  Session  Terminate  Unsupported  Applications  create  Session  Terminate  Failed  Application  send  Session  Terminate  Failed  Application  create  Session  Terminate  Incompatible  Parameters  send  Session  Terminate  Incompatible  Parameters  send  Content  Reject  File  Not  Available  create  Session  Ping  send  Session  Ping  create  Ack  send  Ack  create  Transport  Replace  send  Transport  Replace  create  Transport  Accept  send  Transport  Accept  create  Transport  Reject  send  Transport  Reject  send  Error  Unknown  Session  create  Error  Unknown  Initiator  send  Error  Unknown  Initiator  create  Error  Unsupported  Info  send  Error  Unsupported  Info  send  Error  Tie  Break  create  Error  Out  Of  Order  send  Error  Out  Of  Order  create  Error  Malformed  Request  send  Error  Malformed  Request,Jingle,namespace  action  attribute  name  initiator  attribute  name  responder  attribute  name  session  id  attribute  name  element  session  Id  action  initiator  responder  reason  contents  Builder  sid  action  initiator  responder  reason  contents,Jingle  get  Initiator  get  Responder  get  Sid  get  Action  get  Reason  get  Contents  get  Sole  Content  Or  Throw  get  I  Q  Child  Element  Builder  get  Builder  create  Error  Unknown  Session  Builder  set  Session  Id  set  Action  set  Initiator  set  Responder  add  Jingle  Content  set  Reason  set  Reason  build,0,0
19,create  Error  Tie  Break,Jingle,iq,,build  add  Extension  set  Condition  get  Builder  create  Error  Response,Jingle,namespace  action  attribute  name  initiator  attribute  name  responder  attribute  name  session  id  attribute  name  element  session  Id  action  initiator  responder  reason  contents  Builder  sid  action  initiator  responder  reason  contents,Jingle  get  Initiator  get  Responder  get  Sid  get  Action  get  Reason  get  Contents  get  Sole  Content  Or  Throw  get  I  Q  Child  Element  Builder  get  Builder  create  Error  Unknown  Session  Builder  set  Session  Id  set  Action  set  Initiator  set  Responder  add  Jingle  Content  set  Reason  set  Reason  build,Jingle  Util,connection,Jingle  Util  create  Session  Initiate  create  Session  Initiate  File  Offer  send  Session  Initiate  File  Offer  send  Session  Initiate  create  Session  Accept  send  Session  Accept  create  Session  Terminate  create  Session  Terminate  create  Session  Terminate  Decline  send  Session  Terminate  Decline  create  Session  Terminate  Success  send  Session  Terminate  Success  create  Session  Terminate  Busy  send  Session  Terminate  Busy  create  Session  Terminate  Alternative  Session  send  Session  Terminate  Alternative  Session  create  Session  Terminate  Cancel  send  Session  Terminate  Cancel  create  Session  Terminate  Content  Cancel  send  Session  Terminate  Content  Cancel  create  Session  Terminate  Unsupported  Transports  send  Session  Terminate  Unsupported  Transports  create  Session  Terminate  Failed  Transport  send  Session  Terminate  Failed  Transport  create  Session  Terminate  Unsupported  Applications  send  Session  Terminate  Unsupported  Applications  create  Session  Terminate  Failed  Application  send  Session  Terminate  Failed  Application  create  Session  Terminate  Incompatible  Parameters  send  Session  Terminate  Incompatible  Parameters  send  Content  Reject  File  Not  Available  create  Session  Ping  send  Session  Ping  create  Ack  send  Ack  create  Transport  Replace  send  Transport  Replace  create  Transport  Accept  send  Transport  Accept  create  Transport  Reject  send  Transport  Reject  send  Error  Unknown  Session  create  Error  Unknown  Initiator  send  Error  Unknown  Initiator  create  Error  Unsupported  Info  send  Error  Unsupported  Info  send  Error  Tie  Break  create  Error  Out  Of  Order  send  Error  Out  Of  Order  create  Error  Malformed  Request  send  Error  Malformed  Request,1,0
20,create  Error  Out  Of  Order,Jingle,iq,,build  add  Extension  set  Condition  get  Builder  create  Error  Response,Jingle  Util,connection,Jingle  Util  create  Session  Initiate  create  Session  Initiate  File  Offer  send  Session  Initiate  File  Offer  send  Session  Initiate  create  Session  Accept  send  Session  Accept  create  Session  Terminate  create  Session  Terminate  create  Session  Terminate  Decline  send  Session  Terminate  Decline  create  Session  Terminate  Success  send  Session  Terminate  Success  create  Session  Terminate  Busy  send  Session  Terminate  Busy  create  Session  Terminate  Alternative  Session  send  Session  Terminate  Alternative  Session  create  Session  Terminate  Cancel  send  Session  Terminate  Cancel  create  Session  Terminate  Content  Cancel  send  Session  Terminate  Content  Cancel  create  Session  Terminate  Unsupported  Transports  send  Session  Terminate  Unsupported  Transports  create  Session  Terminate  Failed  Transport  send  Session  Terminate  Failed  Transport  create  Session  Terminate  Unsupported  Applications  send  Session  Terminate  Unsupported  Applications  create  Session  Terminate  Failed  Application  send  Session  Terminate  Failed  Application  create  Session  Terminate  Incompatible  Parameters  send  Session  Terminate  Incompatible  Parameters  send  Content  Reject  File  Not  Available  create  Session  Ping  send  Session  Ping  create  Ack  send  Ack  create  Transport  Replace  send  Transport  Replace  create  Transport  Accept  send  Transport  Accept  create  Transport  Reject  send  Transport  Reject  send  Error  Unknown  Session  create  Error  Unknown  Initiator  send  Error  Unknown  Initiator  create  Error  Unsupported  Info  send  Error  Unsupported  Info  create  Error  Tie  Break  send  Error  Tie  Break  send  Error  Out  Of  Order  create  Error  Malformed  Request  send  Error  Malformed  Request,Jingle,namespace  action  attribute  name  initiator  attribute  name  responder  attribute  name  session  id  attribute  name  element  session  Id  action  initiator  responder  reason  contents  Builder  sid  action  initiator  responder  reason  contents,Jingle  get  Initiator  get  Responder  get  Sid  get  Action  get  Reason  get  Contents  get  Sole  Content  Or  Throw  get  I  Q  Child  Element  Builder  get  Builder  create  Error  Unknown  Session  Builder  set  Session  Id  set  Action  set  Initiator  set  Responder  add  Jingle  Content  set  Reason  set  Reason  build,0,0
